code,title,units,prereqs,offered,corrupt,prereqs_parsed
ASTRON 99,Directed Study in Astronomy,1 - 3 Units," 7A-B, 10 and consent of instructor","Terms offered: Spring 2016, Spring 2015, Fall 2014<br/>
Supervised observational studies or directed reading for lower division students.",0,PHYSICS7A&PHYSICS7B&ASTRON10
ASTRON 120,Optical and Infrared Astronomy Laboratory,4 Units, Astronomy 7A-7B recommended; Mathematics 54; Physics 7A-7B-7C (7C may be taken concurrently),"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course requires four to six experiments such as the following: accurate position and brightness measurements of stars; laboratory exploration of the characteristics of two-dimensional charge-coupled devices (CCDs) and infrared detectors; measurement of the distance, reddening, and age of a star cluster; measurement of the Stokes parameters and linear polarization of diffuse synchrotron and reflection nebulae; measurement of the period and",0,ASTRON7A&ASTRON7B&MATH54&PHYSICS7A&PHYSICS7B&PHYSICS7C
ASTRON 121,Radio Astronomy Laboratory,4 Units," 7A-7B; Mathematics 53, 54; Physics 7A-7B-7C; Physics 110B recommended","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Several basic laboratory experiments that concentrate on microwave electronics and techniques; construction of receiving, observing, and data analysis systems for two radioastronomical telescopes, a single-dish 21-cm line system and a 12-GHz interferometer; use of these telescopes for astronomical observing projects including structure of the Milky Way galaxy, precise position measurement of several radio sources, and measurement of the radio",0,ASTRON7A&ASTRON7B&MATH53&MATH54&PHYSICS7A&PHYSICS7B&PHYSICS7C&PHYSICS110B
ASTRON 160,Stellar Physics,4 Units, Senior standing in astronomy/physics or consent of instructor. Physics 112 (may be taken concurrently) and either Physics 110A-110B or Physics 137A-137B,"Terms offered: Spring 2018, Fall 2016, Fall 2015<br/>
Topics covered include some, but not necessarily all, of the following. Observational constraints on the properties and evolution of stars. Theory of stellar structure and evolution. Stellar atmospheres and stellar spectroscopy. Stellar nucleosynthesis. Supernovae. Degeneracy of matter and structure of collapsed stars. Elements of gas dynamics, accretion onto compact objects, and x-ray sources. Dynamics and evolution of close binary systems.",0,PHYSICS112&((PHYSICS110A&PHYSICS110B)|(PHYSICS137A&PHYSICS137B))
ASTRON C161,Relativistic Astrophysics and Cosmology,4 Units, 110A-110B; 112 (may be taken concurrently),"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Elements of general relativity. Physics of pulsars, cosmic rays, black holes. The cosmological distance scale, elementary cosmological models, properties of galaxies and quasars. The mass density and age of the universe. Evidence for dark matter and dark energy and concepts of the early universe and of galaxy formation. Reflections on astrophysics as a probe of the extrema of physics.",0,ASTRON110A&ASTRON110B&ASTRON112
ASTRON C162,Planetary Astrophysics,4 Units," Mathematics 53, 54; Physics 7A-7B-7C","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Physics of planetary systems, both solar and extra-solar. Star and planet formation, radioactive dating, small-body dynamics and interaction of radiation with matter, tides, planetary interiors, atmospheres, and magnetospheres. High-quality oral presentations may be required in addition to problem sets and a final exam.",0,MATH53&MATH54&PHYSICS7A&PHYSICS7B&PHYSICS7C
ASTRON H195,Special Study for Honors Candidates,2 - 4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Individual project of research or study.",0,
ASTRON 198,Directed Group Study,1 - 4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Topics will vary with instructor.",0,
ASTRON 199,Supervised Independent Study and Research,1 - 4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Summer 2017 First 6 Week Session<br/>",0,
ASTRON C202,Astrophysical Fluid Dynamics,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Principles of gas dynamics, self-gravitating fluids, magnetohydrodynamics and elementary kinetic theory. Aspects of convection, fluid oscillations, linear instabilities, spiral density waves, shock waves, turbulence, accretion disks, stellar winds, and jets.",0,
ASTRON 203,Astrophysical Techniques,3 Units, 201 and 290A; 290B must be taken concurrently,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Introduction to the flow of astronomical signals through telescope optics and into detectors; subsequent calibration, deconvolution of instrumental artifacts, and analysis. A broad wavelength approach is maintained with focus on shared fundamental concepts. Students ""adopt a wavelength band"" for assignments and presentations. Analysis and simulation of astronomical signals, noise, and errors.",0,
ASTRON C207,Radiation Processes in Astronomy,4 Units," Physics 105, 110A; 110B concurrently; open to advanced undergraduates with GPA of 3.70","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
An introduction to the basic physics of astronomy and astrophysics at the graduate level. Principles of energy transfer by radiation. Elements of classical and quantum theory of photon emission; bremsstrahlung, cyclotron and synchrotron radiation. Compton scattering, atomic, molecular and nuclear electromagnetic transitions. Collisional excitation of atoms, molecules and nuclei.",0,
ASTRON 218,Stellar Dynamics and Galactic Structure,3 Units,,"Terms offered: Spring 2018, Spring 2016, Spring 2014<br/>
A basic course. Structure and kinematics of the galaxy; stellar population concepts; dynamics of stellar systems with and without encounters.",0,
ASTRON C228,Extragalactic Astronomy and Cosmology,3 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
A survey of physical cosmology - the study of the origin, evolution, and fate of the universe. Topics include the Friedmann-Robertson-Walker model, thermal history and big bang nucleosynthesis, evidence and nature of dark matter and dark energy, the formation and growth of galaxies and large scale structure, the anisotropy of the cosmic microwave radiation, inflation in the early universe, tests of cosmological models, and current research areas.",0,
ASTRON C249,Solar System Astrophysics,3 Units," 149, 169, C160A or consent of instructor","Terms offered: Fall 2017, Spring 2011, Fall 2008<br/>
The physical foundations of planetary sciences. Topics include planetary interiors and surfaces, planetary atmospheres and magnetospheres, and smaller bodies in our solar system. The physical processes at work are developed in some detail, and an evolutionary picture for our solar system, and each class of objects, is developed. Some discussion of other (potential) planetary systems is also included.",0,
ASTRON 250,Special Topics in Astrophysics,3 Units, Consent of instructor,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
Topics will vary from semester to semester. See department for announcements.",0,
ASTRON 252,Stellar Structure and Evolution,3 Units," Physics 110A-110B, 112, 137A-137B","Terms offered: Fall 2017, Fall 2015, Spring 2013<br/>
Equations of stellar structure, radiative transfer and convection, thermonuclear reactions and stellar energy generations; stellar models, degenerate configurations, evolutionary sequences, supernovae, neutron stars, black holes, nucleosynthesis.",0,
ASTRON C254,High Energy Astrophysics,3 Units, 201 or consent of instructor. 202 recommended,"Terms offered: Spring 2017, Spring 2014, Spring 2012<br/>
Basic physics of high energy radiation processes in an astrophysics environment. Cosmic ray production and propagation. Applications selected from pulsars, x-ray sources, supernovae, interstellar medium, extragalactic radio sources, quasars, and big-bang cosmologies.",0,
ASTRON 255,Computational Methods in Theoretical Astrophysics,3 Units,,"Terms offered: Spring 2018, Spring 2016, Spring 2012<br/>
A broad in-depth survey of state-of-the-art numerical approaches to astrophysical self-gravitational gas dynamics with application to large scale simulation of coupled non-linear astrophysical flows. Finite-difference approaches for Lagrangian and Eulerian astrophysical hydrodynamics and coupled radiation-hydrodynamics. N-body gravitation techniques including direct N-body, P-M, P3M, and hierarchical Tree. Particle gas dynamics methods such",0,
ASTRON C285,Theoretical Astrophysics Seminar,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The study of theoretical astrophysics.",0,
ASTRON 290A,Introduction to Current Research,1 Unit, Consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Survey of research currently being performed in the Department or the University.",0,
ASTRON C290C,Cosmology,2 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>",0,
ASTRON 292,Seminar,1 - 2 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
In addition to the weekly colloquium, the Department offers seminars in advanced topics, several of which are announced at the beginning of each semester. A maximum of 5 units may be taken per semester with a limitation of 2 in any one section.",0,
ASTRON C292,Planetary Science Seminar,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The departments of Astronomy and Earth and Planetary Science offer a joint research seminar in advanced topics in planetary science, featuring speakers drawn from graduate students, postdoctoral researchers, faculty, and visiting scholars. Topics will span planetary interiors; surface morphology; atmospheres; dynamics; planet formation; and astrobiology. Speakers will vary from semester to semester. Meetings will be held once a week for 1 hour",0,
ASTRON 298,Directed Group Study,1 - 4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
Tutorial for groups of two or three students.",0,
ASTRON 299,Advanced Study and Research,2 - 12 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>",0,
ASTRON 375,Instruction Techniques in General Astronomy,2 - 6 Units, Consent of instructor,"Terms offered: Fall 2017, Fall 2014, Spring 2014<br/>
Discussion and practice of teaching techniques as applied to astronomy. Open to graduate students who are presently teaching assistants or associates. Two units for course plus one section; three units for two discussion sections.",0,
