code,title,units,prereqs,offered,corrupt
COM LIT 198,Directed Group Study,1 - 4 Units, Upper division standing,"Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
Group study in a field that may not coincide with that of any regular course and must be specific enough to enable students to write essays based upon their studies.",0
COM LIT 199,Supervised Independent Study and Research,1 - 4 Units,,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Enrollment restrictions apply.",0
COM LIT 200,Approaches to Comparative Literature,4 Units, Admission to graduate standing in Comparative Literature,"Terms offered: Spring 2018, Fall 2016, Fall 2015<br/>
Lectures on literary theory, on the study of criticism, and on the methods of comparative literary theory.",0
COM LIT 201,Proseminar,1 Unit, Required for all first year graduate students,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course is designed to give all new graduate students a broad view of the department's faculty, the courses they teach, and their fields of research. In addition, it will introduce students to some practical aspects of the graduate career, issues that pertain to specific fields of research, and questions currently being debated across the profession. The readings for the course will consist of copies of materials by the department's facult",0
COM LIT 202B,Approaches to Genre: Lyric Poetry,4 Units, Admission to graduate standing in Comparative Literature: advanced undergraduates may be admitted with the consent of the instructor,"Terms offered: Spring 2018, Spring 2016, Fall 2015<br/>
Application of the methods of Comparative Literature to the study of genres.",0
COM LIT 210,Studies in Ancient Literature,4 Units, Preparation in ancient Greek or Latin and familiarity with at least one modern foreign language,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Comparative investigation of a topic in ancient literature between the eighth century B.C.E. and the fourth century C.E. with some attention to subsequent developments.",0
COM LIT 212,Studies in Medieval Literature,4 Units, Preparation in two medieval languages,"Terms offered: Spring 2017, Fall 2016, Spring 2016<br/>
Comparative investigation of a topic in literature and culture between the fifth and the fourteenth centuries.",0
COM LIT 215,Studies in Renaissance Literature,4 Units, Preparation in two foreign languages,"Terms offered: Spring 2018, Spring 2017, Fall 2015<br/>
Comparative investigation of a topic in Western literature in the Renaissance period.",0
COM LIT 223,Studies in the 19th Century,4 Units, Preparation in two foreign languages,"Terms offered: Fall 2016, Fall 2013, Spring 2010<br/>
Comparative investigation of major themes in nineteenth-century literature and culture.",0
COM LIT 225,Studies in Symbolist and Modern Literature,4 Units, Preparation in two foreign languages,"Terms offered: Fall 2017, Spring 2015, Spring 2014<br/>
Comparative investigation of a topic in literature and culture of the modern period.",0
COM LIT 227,Studies in Contemporary Literature,4 Units, Preparation in two foreign languages,"Terms offered: Spring 2018, Spring 2016, Spring 2014<br/>
Comparative investigation of a topic in contemporary literature and culture.",0
COM LIT 240,Studies in the Relations Between Literature and the Other Arts,4 Units, Preparation in two foreign languages,"Terms offered: Fall 2016, Spring 2016, Fall 2015<br/>
Comparative study of the historical and systematic relations between literature and other arts such as the visual arts, music, and film.",0
COM LIT 250,Studies in Literary Theory,4 Units, Preparation in two foreign languages,"Terms offered: Spring 2018, Spring 2017, Fall 2014<br/>
Comparative investigation of a topic in the theory of literature.",0
COM LIT 254,Studies in East-West Literary Relations,4 Units," Preparation in two foreign languages, one of which must be an East Asian language","Terms offered: Spring 2017, Fall 2016, Spring 2015<br/>
Comparative investigation of a literary topic requiring the study of both East Asian and Western documents.",0
COM LIT 256,The Craft of Critical Writing,4 Units,,"Terms offered: Fall 2017, Fall 2006<br/>
The course will proceed chiefly through exercises in writing reviews and critical essays, with class discussion of the work that will be done by members of the seminar. Some analytic attention will also be devoted to existing models of critical prose. The class will deal with the minute details that make for lucidity and felicity of style and will also consider larger issues of organization, critical focus, and audience.",0
COM LIT 260,Problems in Literary Translation,4 Units, Preparation in two foreign languages or permission of the instructor,"Terms offered: Spring 2017, Fall 2016, Spring 2015<br/>
Theory and practice of translation. Students will complete a project in literary translation.",0
COM LIT 298,Special Study,1 - 4 Units, Graduate standing,"Terms offered: Spring 2018, Fall 2017, Fall 2016<br/>
Primarily for students engaged in preliminary exploration of a restricted field, involving the writing of a report. May not be substituted for available seminars.",0
COM LIT N298,Special Study,2 - 4 Units, Graduate standing,"Terms offered: Summer 2018 8 Week Session, Summer 2017 8 Week Session, Summer 2016 8 Week Session<br/>
Primarily for students engaged in preliminary exploration of a restricted field, involving the writing of a report. May not be substituted for available seminars.",0
COM LIT 299,Directed Research,1 - 12 Units, Satisfactory completion of the Qualifying Examination,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
Writing of the doctoral dissertation.",0
COM LIT 300,Supervised Teaching in Comparative Literature,1 - 4 Units, Appointment as a graduate student instructor in the department. Consent of graduate advisor,"Terms offered: Spring 2018, Fall 2017, Spring 2016<br/>
Course credit for experience gained in academic teaching through employment as a graduate student instructor.",0
COM LIT 375,Methods of Teaching Literature and English Composition-Comparative Literature,2 Units, Appointment as a graduate student instructor or consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Discussion of the theory and practice of teaching composition at the college level in a department of comparative literature. Prerequisites: Appointment as a graduate student instructor or consent of instructor.",0
COM LIT 601,Individual Study for Master's Students,1 - 8 Units, Graduate standing,"Terms offered: Spring 2018, Fall 2017, Fall 2016<br/>
Individual study for the comprehensive or language requirements in consultation with the Graduate Adviser. Units may not be used to meet either unit or residence requirements for the master's degree.",0
COM LIT 602,Individual Study for Doctoral Students,1 - 8 Units, Satisfactory completion of the Master's examination,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Individual study in consultation with the Graduate Adviser intended to provide opportunity for qualified students to prepare themselves for the various examinations required of candidates for the Ph.D. May not be used for unit or residence requirements for the doctoral degree.",0
